id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"1","Danny Collins","2015","Apr","Comedy","R","106","English","Dan Fogelman","Dan Fogelman","Al Pacino","58","71","18347","10000000","5348317"
"2","Project Almanac","2015","Jan","Sci-Fi","PG-13","106","English","Dean Israelite","Jason Pagan","Jonny Weston","47","64","52591","12000000","22331028"
"3","Fifty Shades of Grey","2015","Feb","Drama","R","125","English","Sam Taylor-Johnson","Kelly Marcel","Dakota Johnson","46","41","209,678","40000000","166167230"
"4","Blackhat","2015","Jan","Action","R","133","English","Michael Mann","Morgan Davis Foehl","Chris Hemsworth","51","54","35637","70000000","7097125"
"5","Stonewall","2015","Sep","Drama","R","129","English","Roland Emmerich","Jon Robin Baitz","Joey King","30","41","1176","13500000","186354"
"6","How to Be Single","2016","Feb","Comedy","R","110","English","Christian Ditter","Abby Kohn","Dakota Johnson","51","63","5292","38000000","18750000"
"7","Jupiter Ascending","2015","Feb","Action","PG-13","127","English","Andy Wachowski, Lana Wachowski","Andy Wachowski","Mila Kunis","40","54","129577","176000000","47387723"
"8","The Gallows","2015","Jul","Horror","R","81","English","Travis Cluff, Chris Lofing","Travis Cluff","Reese Mishler","30","43","11177","100000","22757819"
"9","Shaun the Sheep Movie","2015","Aug","Animation","PG","85","N/A","Mark Burton, Richard Starzak","Mark Burton","Justin Fletcher","81","74","20,038","25000000","19321230"
"10","Final Girl","2015","Aug","Action","R","90","English","Tyler Shields","Adam Prince","Abigail Breslin","N/A","46","5533","8000000","5500000"
"11","Hail, Caesar!","2016","Feb","Comedy","PG-13","106","English","Ethan Coen, Joel Coen","Joel Coen","Josh Brolin","72","70","6449","22000000","21354970"
"12","Black Mass","2015","Sep","Biography","R","123","English","Scott Cooper","Mark Mallouk","Johnny Depp","68","70","86586","65000000","62563543"
"13","Maze Runner: The Scorch Trials","2015","Sep","Action","PG-13","132","English","Wes Ball","T.S. Nowlin","Dylan O'Brien","43","64","111679","61000000","81687587"
"14","The Gift","2015","Aug","Mystery","R","108","English","Joel Edgerton","Joel Edgerton","Jason Bateman","77","71","64793","5000000","43771291"
"15","Run All Night","2015","Mar","Action","R","114","English","Jaume Collet-Serra","Brad Ingelsby","Liam Neeson","59","66","68905","50000000","26442251"
"16","Inside Out","2015","Jun","Animation","PG","95","English","Pete Docter, Ronnie Del Carmen","Pete Docter","Amy Poehler","94","83","267253","175000000","356454367"
"17","Phantom","2015","Mar","History","R","98","English","Todd Robinson","Todd Robinson","Ed Harris","40","58","11286","7500000","207921"
"18","Paranormal Activity: The Ghost Dimension","2015","Oct","Horror","R","88","English","Gregory Plotkin","Jason Pagan","Chris J. Murray","30","45","11713","10000000","18247445"
"19","Rock the Kasbah","2015","Oct","Comedy","R","106","English","Barry Levinson","Mitch Glazer","Bill Murray","29","55","2844","15000000","2982281"
"20","San Andreas","2015","May","Action","PG-13","114","English","Brad Peyton","Carlton Cuse","Dwayne Johnson","43","61","127213","110000000","155181732"
"21","The Peanuts Movie","2015","Nov","Animation","G","88","English","Steve Martino","Bryan Schulz","Trombone Shorty","67","73","18928","99000000","129984193"
"22","Anomalisa","2015","Jan","Animation","R","90","English","Duke Johnson, Charlie Kaufman","Charlie Kaufman","David Thewlis","88","75","15639","8000000","2233178"
"23","Trainwreck","2015","Jul","Comedy","R","125","English","Judd Apatow","Amy Schumer","Colin Quinn","75","64","76603","35000000","110008260"
"24","The Revenant","2015","Jan","Adventure","R","156","English","Alejandro González Iñárritu","Mark L. Smith","Leonardo DiCaprio","76","82","224187","135000000","159164599"
"25","The DUFF","2015","Feb","Comedy","PG-13","101","English","Ari Sandel","Josh A. Cagan","Mae Whitman","56","66","45,821","8500000","34017854"
"26","Fifty Shades of Black","2016","Jan","Comedy","R","92","English","Michael Tiddes","Marlon Wayans","Marlon Wayans","28","34","3,035","5500000","9371544"
"27","Tomorrow","2016","Sep","Drama","PG","103","English","Joseph Anthony","William Faulkner","Robert Duvall","N/A","78","753","2000","1447"
"28","Creed","2015","Nov","Drama","PG-13","133","English","Ryan Coogler","Ryan Coogler","Michael B. Jordan","82","78","97,797","35000000","108988796"
"29","The SpongeBob Movie: Sponge Out of Water","2015","Feb","Animation","PG","92","English","Paul Tibbitt, Mike Mitchell","Glenn Berger","Antonio Banderas","62","60","31,734","74000000","162495848"
"30","Minions","2015","Jul","Animation","PG","91","English","Kyle Balda, Pierre Coffin","Brian Lynch","Sandra Bullock","56","65","124840","74000000","336045770"
"31","Concussion","2015","Dec","Biography","PG-13","123","English","Peter Landesman","Peter Landesman","Will Smith","55","71","18046","35000000","34255169"
"32","Sicario","2015","N/A","Action","R","121","English","Denis Villeneuve","Taylor Sheridan","Emily Blunt","81","77","143942","30000000","46875468"
"33","Unfinished Business","2015","Mar","Comedy","R","91","English","Ken Scott","Steve Conrad","Vince Vaughn","32","54","20,531","35000000","10214013"
"34","Terminator Genisys","2015","Jul","Action","PG-13","126","English","Alan Taylor","Laeta Kalogridis","Arnold Schwarzenegger","38","66","165960","155000000","89760956"
"35","Scouts Guide to the Zombie Apocalypse","2015","Oct","Action","R","93","English","Christopher Landon","Carrie Lee Wilson","Tye Sheridan","32","63","17684","15000000","3635292"
"36","Jem and the Holograms","2015","Oct","Adventure","PG","118","English","Jon M. Chu","Ryan Landels","Aubrey Peeples","42","39","2516","5000000","2184640"
"37","Our Brand Is Crisis","2015","Oct","Comedy","R","107","English","David Gordon Green","Peter Straughan","Sandra Bullock","53","60","5244","28000000","6998324"
"38","Insurgent","2015","Mar","Adventure","PG-13","119","English","Robert Schwentke","Brian Duffield","Kate Winslet","42","63","135211","110000000","129995817"
"39","Deadpool","2016","Feb","Action","R","108","English","Tim Miller","Rhett Reese","Ryan Reynolds","65","86","145561","58000000","135050000"
"40","Avengers: Age of Ultron","2015","May","Action","PG-13","141","English","Joss Whedon","Joss Whedon","Robert Downey Jr.","66","75","401155","250000000","459005868"
"41","Legend","2015","Nov","Biography","R","132","English","Brian Helgeland","Brian Helgeland","Paul Anderson","55","71","53,745","30000000","1872994"
"42","Brothers","2015","Dec","Drama","R","105","English","Jim Sheridan","David Benioff","Tobey Maguire","58","71","85404","10205000","266175"
"43","Ricki and the Flash","2015","Aug","Comedy","PG-13","101","English","Jonathan Demme","Diablo Cody","Meryl Streep","54","60","11217","18000000","26822144"
"44","Max","2015","Jun","Adventure","PG","111","English","Boaz Yakin","Boaz Yakin","Thomas Haden Church","47","68","15712","20000000","42652003"
"45","Paper Towns","2015","Jul","Drama","PG-13","109","English","Jake Schreier","John Green","Nat Wolff","56","64","52522","12000000","31990064"
"46","Pixels","2015","Jul","Action","PG-13","106","English","Chris Columbus","Tim Herlihy","Adam Sandler","27","57","74,411","88000000","78747585"
